# BinCenter	Content	Error
-7.8	0.0675	0.00580948
-7.4	0.1355	0.00823104
-7	0.3	0.0122474
-6.6	0.641	0.0179025
-6.2	1.3465	0.0259471
-5.8	2.661	0.036476
-5.4	4.517	0.0475237
-5	6.7945	0.0582859
-4.6	9.505	0.0689384
-4.2	12.159	0.0779711
-3.8	14.333	0.0846552
-3.4	15.722	0.0886623
-3	16.557	0.0909863
-2.6	16.961	0.0920896
-2.2	16.3915	0.0905304
-1.8	15.7695	0.0887961
-1.4	14.771	0.0859389
-1	13.158	0.081111
-0.6	12.089	0.0777464
-0.2	11.0695	0.0743959
0.2	10.449	0.0722807
0.6	10.0175	0.0707725
1	9.741	0.069789
1.4	9.323	0.0682752
1.8	8.5675	0.0654504
2.2	7.5865	0.0615894
2.6	6.474	0.0568946
3	5.156	0.050774
3.4	4.038	0.0449333
3.8	2.9605	0.038474
4.2	1.972	0.0314006
4.6	1.1985	0.0244796
5	0.684	0.0184932
5.4	0.3535	0.0132947
5.8	0.176	0.00938083
6.2	0.0785	0.00626498
6.6	0.038	0.0043589
7	0.0185	0.00304138
7.4	0.0095	0.00217945
7.8	0.0045	0.0015
