# Output TH1F: dNdeta (dNdeta)
# BinCenter	Content	Error
-9.8	0.465561	0.000215769
-9.4	0.880244	0.000296689
-9	1.5412	0.000392581
-8.6	2.46217	0.000496203
-8.2	3.51323	0.000592725
-7.8	4.45466	0.000667433
-7.4	5.18887	0.000720338
-7	5.71657	0.00075608
-6.6	6.10027	0.000781042
-6.2	6.50481	0.000806524
-5.8	7.0699	0.000840827
-5.4	7.86063	0.000886602
-5	8.87097	0.000941859
-4.6	10.054	0.0010027
-4.2	11.3342	0.00106462
-3.8	12.6325	0.00112394
-3.4	13.8844	0.00117832
-3	15.01	0.00122515
-2.6	15.9458	0.00126277
-2.2	16.61	0.0012888
-1.8	16.931	0.00130119
-1.4	16.8475	0.00129798
-1	16.3932	0.00128036
-0.6	15.7401	0.0012546
-0.2	15.159	0.00123122
0.2	14.8746	0.00121961
0.6	14.8514	0.00121866
1	14.8178	0.00121728
1.4	14.5009	0.0012042
1.8	13.764	0.0011732
2.2	12.6442	0.00112446
2.6	11.2968	0.00106287
3	9.88967	0.000994468
3.4	8.50497	0.000922224
3.8	7.1936	0.000848151
4.2	5.97564	0.000773022
4.6	4.87832	0.00069845
5	3.91768	0.000625914
5.4	3.10833	0.000557524
5.8	2.44827	0.0004948
6.2	1.92113	0.000438307
6.6	1.49534	0.000386696
7	1.13792	0.00033733
7.4	0.826397	0.000287471
7.8	0.564124	0.000237513
8.2	0.359203	0.000189526
8.6	0.212197	0.00014567
9	0.116278	0.000107832
9.4	0.059467	7.71148e-05
9.8	0.0288358	5.3699e-05
